&
B_ C.23_C 58.6425 167.799
1.75 1.01914 0 0.000339159
1.85 1.01914 0 0.000751008
1.95 1.01914 0 0.00158544
2.05 1.01914 0 0.0028262
2.15 1.01914 0 0.00478407
2.25 1.01914 0 0.00746577
2.35 1.01914 0 0.011216
2.45 1.01914 0 0.0149537
2.55 1.01914 0 0.0203588
2.65 1.01914 0 0.0279563
2.75 1.01914 0 0.0366274
2.9 1.01914 0 0.107933
3.1 1.01914 0 0.173328
3.3 1.01914 0 0.270756
3.5 1.01914 0 0.413732
3.7 0.836126 0.0294118 0.610192
3.95 0.237195 0.529412 1.46423
4.25 0.311722 0.779412 2.27947
4.55 0.900949 0.0294118 2.96885
4.85 0.881893 0.0588235 3.98225
&
B_ N.pl33 0.696078 5.17907
1.55 0.123764 0 2.46682e-05
1.65 0.123764 0 5.69949e-05
1.75 0.123764 0 0.000147484
1.85 0.123764 0 0.000319505
1.95 0.123764 0 0.000668033
2.05 0.123764 0 0.00118628
2.15 0.123764 0 0.00200404
2.25 0.123764 0 0.00312414
2.35 0.123764 0 0.00469053
2.45 0.123764 0 0.00625169
2.55 0.123764 0 0.0085093
2.65 0.123764 0 0.0116826
2.75 0.123764 0 0.0153044
2.9 0.123764 0 0.0450877
3.1 0.123764 0 0.0724016
3.3 0.123764 0 0.113096
3.5 0.123764 0 0.172814
3.7 0.123764 0 0.254872
3.95 0.123764 0 0.611588
4.25 0.115477 0.0294118 0.9521
4.55 0 0.333333 1.24004
4.85 0.0335614 0.333333 1.66332
&
B_ O.21_O 67.7272 155.356
1.55 7.80109 0 0.000450001
1.65 7.80109 0 0.0014197
1.75 7.80109 0 0.00413408
1.85 7.80109 0 0.00929419
1.95 7.80109 0 0.0197489
2.05 7.80109 0 0.0352946
2.15 7.80109 0 0.059825
2.25 7.80109 0 0.0934244
2.35 7.80109 0 0.140411
2.45 7.80109 0 0.187241
2.55 7.80109 0 0.254963
2.65 7.80109 0 0.350153
2.75 7.80109 0 0.458794
2.9 7.80109 0 1.3522
3.1 7.80109 0 2.17153
3.3 1.02054 0.362745 3.39223
3.5 0.30665 1.77206 5.18359
3.7 0.0486472 5.77731 7.64507
3.95 0 9.26118 18.3454
4.25 0.19542 8.57598 28.5597
4.55 0.00286566 18.6943 37.1971
4.85 0.156533 23.2836 49.8941
&
B_ O.21_nq 16.4137 19.5649
1.55 2.03073 0 6.5412e-05
1.65 2.03073 0 0.000187532
1.75 2.03073 0 0.000529371
1.85 2.03073 0 0.00117921
1.95 2.03073 0 0.00249584
2.05 2.03073 0 0.00445361
2.15 2.03073 0 0.00754286
2.25 2.03073 0 0.0117742
2.35 2.03073 0 0.0176916
2.45 2.03073 0 0.0235892
2.55 2.03073 0 0.0321177
2.65 2.03073 0 0.0441056
2.75 2.03073 0 0.0577874
2.9 2.03073 0 0.170299
3.1 0 0.6 0.273483
3.3 2.03073 0 0.427212
3.5 0 0.529412 0.65281
3.7 1.45958 0.125 0.962799
3.95 0 2.02941 2.31036
4.25 0 4.02941 3.59671
4.55 0.149609 2.65441 4.68446
4.85 -0.00597618 6.44608 6.28347
&
B_ O.31_st 52.1668 34.2413
1.55 4.70156 0 0.000106979
