&
B C.23_C 58.6425 167.799
2.45 7.35801 0 0.535947
2.55 7.35801 0 0.650919
2.65 7.35801 0 0.843283
2.75 7.35801 0 0.988492
2.9 7.35801 0 2.52536
3.1 0.512534 0.658333 3.50342
3.3 -0.246244 6.36786 4.5708
3.5 -0.15333 9.89612 5.95965
3.7 0 8.66071 7.41473
3.95 -0.205079 31.2869 16.0972
4.25 -0.0593886 22.3783 17.3748
4.55 -0.146904 20.976 15.5902
4.85 0 15.9481 17.2489
&
C.11 C.32 106.346 121.473
1.55 7.49178 0 0.00136746
1.65 7.49178 0 0.00589078
1.75 7.49178 0 0.0171136
1.85 7.49178 0 0.045669
1.95 7.49178 0 0.104669
2.05 7.49178 0 0.182476
2.15 7.49178 0 0.26103
2.25 7.49178 0 0.375205
2.35 7.49178 0 0.508567
2.45 7.49178 0 0.689124
2.55 7.49178 0 0.836955
2.65 7.49178 0 1.0843
2.75 7.49178 0 1.27101
2.9 3.13015 0.00877193 3.24713
3.1 3.56256 0.0175439 4.50473
3.3 0.307434 4.3208 5.87718
3.5 0.30765 4.96316 7.66298
3.7 0.370355 6.16654 9.53393
3.95 0.140906 17.7164 20.698
4.25 0.203892 17.384 22.3406
4.55 -0.0270468 25.7703 20.0461
4.85 -0.190167 29.9983 22.1788
&
C.11 C.32_g_CA 18.1318 15.5299
